suite,case,ORDER,READ_SIZE,PROG_SIZE,N,COMMIT,BLOCK_SIZE,bench_readed,bench_proged,bench_erased
bench_rbyd,bench_rbyd_id_commit,0,1,1,17,1,1048576,1087,822,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,33,1,1048576,2391,1853,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,25,1,1048576,1615,1313,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,9,1,1048576,559,378,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,41,1,1048576,3471,2404,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,57,1,1048576,7335,3577,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,113,1,1048576,22244,8026,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,65,1,1048576,9429,4199,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,105,1,1048576,20069,7364,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,49,1,1048576,5299,2986,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,121,1,1048576,24442,8697,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,129,1,1048576,26657,9399,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,73,1,1048576,11511,4804,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1,1,1048576,31,33,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,209,1,1048576,48727,16344,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,89,1,1048576,15733,6057,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,137,1,1048576,28841,10063,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,81,1,1048576,13605,5426,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,201,1,1048576,46512,15642,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,153,1,1048576,33214,11396,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,161,1,1048576,35429,12098,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,145,1,1048576,31016,10725,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,225,1,1048576,53170,17797,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,97,1,1048576,17908,6719,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,217,1,1048576,50950,17055,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,169,1,1048576,37639,12783,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,305,1,1048576,75271,25190,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,185,1,1048576,42077,14196,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,233,1,1048576,55393,18522,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,249,1,1048576,59834,20015,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,297,1,1048576,73072,24440,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,257,1,1048576,62047,20797,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,177,1,1048576,39854,13485,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,321,1,1048576,79667,26739,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,313,1,1048576,77471,25949,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,401,1,1048576,101629,34519,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,241,1,1048576,57613,19264,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,265,1,1048576,64263,21528,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,193,1,1048576,44297,14938,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,281,1,1048576,68668,22957,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,345,1,1048576,86270,29000,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,353,1,1048576,88466,29790,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,329,1,1048576,81871,27491,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,273,1,1048576,66463,22238,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,393,1,1048576,99446,33761,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,409,1,1048576,103812,35286,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,417,1,1048576,105991,36084,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,337,1,1048576,84070,28241,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,289,1,1048576,70867,23707,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,361,1,1048576,90666,30563,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,497,1,1048576,127588,44281,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,449,1,1048576,114647,39331,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,441,1,1048576,112495,38485,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,377,1,1048576,95057,32152,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,425,1,1048576,108174,36865,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,369,1,1048576,92862,31353,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,505,1,1048576,129741,45136,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,489,1,1048576,125436,43435,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,433,1,1048576,110337,37670,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,385,1,1048576,97248,32982,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,457,1,1048576,116809,40139,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,513,1,1048576,131890,46022,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,593,1,1048576,153676,53987,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,545,1,1048576,140599,49165,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,537,1,1048576,138420,48367,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,521,1,1048576,134054,46842,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,473,1,1048576,121125,41760,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,585,1,1048576,151497,53189,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,601,1,1048576,155855,54794,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,465,1,1048576,118967,40945,0
